poscar_id,directory,formula,n_atoms,E_total_eV,E_ref_eV,dHf_eV_per_atom,e_above_hull_eV_per_atom,hull_status
21,POSCAR_21_Gd3InC_E-11.33,CGd3In,5,-27.832465,-25.556177,-0.4553,-0.1108,Below hull (novel stable)
39,POSCAR_39_EuO_E-10.43,Eu2O2,4,-26.445346,-13.577683,-3.2169,-0.0779,Below hull (novel stable)
40,POSCAR_40_EuO_E-10.43,Eu2O2,4,-26.445309,-13.577683,-3.2169,-0.0779,Below hull (novel stable)
11,POSCAR_11_GdRu_E-11.79,Gd2Ru2,4,-28.618838,-27.637836,-0.2453,-0.0528,Below hull (novel stable)
13,POSCAR_13_GdRu_E-11.79,Gd2Ru2,4,-28.617953,-27.637836,-0.2450,-0.0525,Below hull (novel stable)
12,POSCAR_12_GdRu_E-11.79,Gd2Ru2,4,-28.617881,-27.637836,-0.2450,-0.0525,Below hull (novel stable)
50,POSCAR_50_LiGd2Ir_E-10.27,Gd2IrLi,4,-22.076585,-19.849802,-0.5567,-0.0354,Below hull (novel stable)
18,POSCAR_18_Gd2IrPd_E-11.40,Gd2IrPd,4,-26.596500,-23.105197,-0.8728,-0.0260,Below hull (novel stable)
35,POSCAR_35_Hf2ReRh_E-10.62,Hf2ReRh,4,-42.243974,-39.423116,-0.7052,-0.0182,Below hull (novel stable)
34,POSCAR_34_TaNbC2_E-10.63,C2NbTa,4,-42.483085,-40.291673,-0.5479,-0.0106,Below hull (novel stable)
22,POSCAR_22_HfOs_E-11.30,Hf2Os2,4,-45.185617,-42.309425,-0.7190,-0.0102,Below hull (novel stable)
04,POSCAR_04_MoW5_E-12.61,MoW5,6,-75.736406,-75.664068,-0.0121,-0.0102,Below hull (novel stable)
38,POSCAR_38_TaTiMo2_E-10.51,Mo2TaTi,4,-41.845462,-41.419047,-0.1066,-0.0039,On hull
17,POSCAR_17_Ta3Ru_E-11.42,RuTa3,4,-45.473197,-44.648604,-0.2061,0.0104,Near hull
36,POSCAR_36_TiRe_E-10.57,Re2Ti2,4,-41.933265,-40.398806,-0.3836,0.0143,Near hull
43,POSCAR_43_Gd2AgRu_E-10.35,AgGd2Ru,4,-22.291417,-21.124559,-0.2917,0.0167,Near hull
24,POSCAR_24_Gd2Al_E-11.01,Al2Gd4,6,-27.461534,-25.894827,-0.2611,0.0170,Near hull
41,POSCAR_41_Ti2ReOs_E-10.42,OsReTi2,4,-41.429943,-39.247812,-0.5455,0.0215,Near hull
19,POSCAR_19_TiRe3_E-11.39,Re3Ti,4,-45.863623,-44.993030,-0.2176,0.0466,Near hull
29,POSCAR_29_Hf2CN_E-10.81,CHf2N,4,-43.063799,-37.341788,-1.4305,0.0718,Near hull
27,POSCAR_27_Gd3Cd_E-10.87,CdGd3,4,-14.912013,-14.512839,-0.0998,0.0727,Near hull
14,POSCAR_14_W2C_E-11.64,CW2,3,-35.048427,-35.123525,0.0250,0.1061,Unstable (ΔH_f>0)
16,POSCAR_16_Ta2C_E-11.43,C3Ta6,9,-102.689200,-98.486528,-0.4670,0.1301,Marginal
42,POSCAR_42_EuHfO3_E-10.36,Eu2Hf2O6,10,-88.913330,-53.109022,-3.5804,0.1455,Marginal
26,POSCAR_26_HfN_E-10.90,Hf2N2,4,-43.504129,-36.425111,-1.7698,0.1587,Marginal
32,POSCAR_32_Hf7N9_E-10.71,Hf7N9,16,-171.004320,-144.095213,-1.6818,0.1957,Marginal
07,POSCAR_07_Gd7TeS_E-12.43,Gd7STe,9,-45.414620,-39.315130,-0.6777,0.1967,Marginal
23,POSCAR_23_ReMo3_E-11.08,Mo3Re,4,-44.304992,-45.115122,0.2025,0.2067,Unstable (ΔH_f>0)
44,POSCAR_44_TaFe_E-10.34,Fe6Ta6,12,-101.109620,-101.867296,0.0631,0.2539,Unstable (ΔH_f>0)
48,POSCAR_48_Ta6HC5_E-10.30,C5HTa6,12,-123.389650,-120.275201,-0.2595,0.2892,Marginal
37,POSCAR_37_Gd2DyRu_E-10.57,DyGd2Ru,4,-22.447110,-22.911766,0.1162,0.2990,Unstable (ΔH_f>0)
15,POSCAR_15_GdC_E-11.49,C2Gd2,4,-27.235726,-27.606817,0.0928,0.3321,Unstable (ΔH_f>0)
08,POSCAR_08_Gd2O3_E-12.03,Gd8O12,20,-165.959410,-95.805213,-3.5077,0.3877,Above hull
09,POSCAR_09_Gd2O3_E-12.00,Gd4O6,10,-82.553667,-47.902606,-3.4651,0.4303,Above hull
25,POSCAR_25_TaN_E-10.95,N2Ta2,4,-43.901415,-40.215828,-0.9214,0.4312,Above hull
10,POSCAR_10_Gd2O3_E-11.99,Gd6O9,15,-123.581610,-71.853910,-3.4485,0.4469,Above hull
30,POSCAR_30_GdO2_E-10.74,Gd2O4,6,-45.372754,-28.879692,-2.7488,0.4974,Above hull
20,POSCAR_20_Gd7O12_E-11.36,Gd7O12,19,-149.660340,-91.222144,-3.0757,0.5122,Above hull
33,POSCAR_33_GdO2_E-10.64,Gd2O4,6,-45.256630,-28.879692,-2.7295,0.5167,Above hull
31,POSCAR_31_Gd2CO4_E-10.72,CGd2O4,7,-56.559842,-38.100031,-2.6371,0.5245,Above hull
49,POSCAR_49_Gd3ClO5_E-10.29,ClGd3O5,9,-65.206732,-40.170487,-2.7818,0.5752,Above hull
